Leaf_Color_Score,Leaf_Spot_Count,Leaf_Moisture,Leaf_Texture_Score,Plant_Age_Days,Soil_Moisture,Temperature,Disease
8.423521368855054,1,63.18150830480554,8.961514928204013,60,53.126904344406555,29.737638446522176,Healthy
8.545345628118808,0,62.34048034868772,7.968291153593768,55,56.93569817252828,19.260159266026605,Healthy
7.423786975369135,0,49.89735103732461,8.357123666297635,46,43.701570389317666,29.39694630676466,Healthy
8.098400664781058,2,46.60201451029235,7.927808637737408,67,45.79205138062158,26.127094055037016,Healthy
7.929712589536537,1,53.186347102164824,9.126139092254467,64,46.538312568352794,27.467634736309567,Healthy
7.65062035751304,2,42.322639008961794,7.535906975550784,68,60.907732639963285,25.51410484356991,Healthy
8.14795827292529,1,46.17182407706058,7.840077895802645,55,63.45697780975132,26.030854868705383,Healthy
7.406631930086769,2,54.91934175666947,7.86153899984702,77,63.24799617996761,27.793840357348596,Healthy
7.822352114549812,1,60.650107451228514,8.687772563561179,55,53.51472818668946,21.680995077981915,Healthy
7.661707019163697,4,68.84992022856659,8.163994939209832,85,57.89308820038107,23.06464073618463,Healthy
8.362628022478786,6,57.713391687120385,8.982321827907002,12,61.57522003500179,25.261141204714512,Healthy
8.065446692290358,2,42.09944868319286,8.090164056081242,72,66.82315235793213,23.44518934517906,Healthy
7.836177878698065,0,65.3232169416166,8.364375554829842,54,59.106139464906846,25.291232648044122,Healthy
8.6358902457398,0,55.37870282721786,8.003945923433921,35,57.36896221651661,25.783165816539668,Healthy
8.202301055489107,1,46.677034063596686,7.989677338617319,58,48.581781846227045,24.516142865001974,Healthy
8.381822885566542,7,59.396622502654715,8.32877519536138,63,39.64983027760767,24.920458373652348,Healthy
8.227103594473462,9,56.46111228175102,8.350773671166806,64,45.65057569904374,28.42846844354506,Healthy
8.538369864709047,4,50.724900361642085,8.901397155468048,36,59.69485675040216,31.571366877429938,Healthy
7.754258653691189,0,58.79721092070113,7.9482621729419,33,55.548503798448216,21.813088858821686,Healthy
8.413116593785832,0,70.39947524014032,7.808373353831881,58,61.50813773895736,21.307407050698135,Healthy
8.302356970571857,5,45.14013412351018,8.292316929266152,70,61.25458297421848,21.289147867365756,Healthy
7.605794524112075,3,60.375877385865486,8.325246425172937,71,49.559802227372074,25.696761091483012,Healthy
8.331882612984407,0,72.92619608915805,8.436916460455894,41,60.25242886907064,22.075954989318035,Healthy
8.554188071684102,5,51.43454145318631,8.68168806462216,73,61.57648127995592,30.690378947961843,Healthy
8.089575347798707,0,50.88388456299582,7.79209485751728,63,57.729215798533154,25.830072397990058,Healthy
8.57223246206621,2,69.62827261725853,8.06767158338102,119,60.00533878212005,22.42852733075115,Healthy
7.718098375872499,3,56.21229771739319,8.557000247046044,74,54.417368698745015,22.459618845794786,Healthy
7.51831874889136,0,64.85119035458777,8.3070468720651,40,56.385447406809455,26.15595213918651,Healthy
7.80226415370949,2,58.465669747568,7.628514851084688,72,59.486276210945874,28.24915372952583,Healthy
8.674210923415705,0,50.49739968067902,8.45751763360433,75,59.12038149044838,36.558194471964164,Healthy
8.456900729811924,5,65.63201410794562,8.525695625652899,58,61.07175376394614,22.681524356387285,Healthy
8.093431626966995,0,58.65499311509058,9.357329283336753,27,60.49008152299611,20.161852386431043,Healthy
